Student_ID,Age,Gender,Family_Income_Level,Location,Interest_Score,Motivation_Level,Self_Confidence,Stress_Level,Personality_Type,Decision_Making_Ability,Creativity_Index,Risk_Tolerance,GPA,Math_Score,Programming_Skill,Analytical_Skill,Communication_Skill,Internship_Count,Daily_Study_Time,Online_Course_Usage,Device_Usage_Time,Focus_Duration,Sleep_Hours,Activity_Level,Career_Preference
1,24,Other,High,Urban,8,7,10,5,Extrovert,9,2,9,8.74,94,91,71,55,4,6.69,20,7.71,108,7.08,2,Government Job
2,21,Other,High,Rural,7,5,4,1,Introvert,5,8,6,7.5,95,99,87,41,3,8.3,40,11.18,98,7.64,3,Researcher
3,22,Female,High,Rural,2,1,1,1,Extrovert,2,3,2,9.87,74,47,42,65,0,2.15,44,3.36,78,5.71,2,Government Job
4,24,Female,Low,Urban,6,9,10,4,Ambivert,2,9,5,9.83,62,74,86,43,1,5.73,96,7.57,80,6.7,10,Entrepreneur
5,20,Male,High,Urban,9,3,9,2,Extrovert,9,8,3,6.32,87,73,57,68,3,2.05,72,7.59,21,8.45,6,Researcher
6,22,Female,Medium,Rural,6,2,10,7,Ambivert,1,6,6,6.08,68,49,89,55,0,8.0,63,10.62,105,8.76,5,Data Scientist
7,22,Male,High,Urban,4,10,4,3,Introvert,10,10,5,6.18,94,79,53,61,1,5.69,87,5.41,29,7.09,7,Data Scientist
8,24,Male,High,Rural,7,6,2,4,Extrovert,3,2,10,8.74,71,83,64,82,4,8.29,12,6.01,97,4.75,9,Government Job
9,19,Male,Low,Urban,3,8,9,9,Extrovert,10,8,1,8.84,90,91,78,45,1,8.19,93,7.19,48,7.84,7,Software Engineer
10,20,Other,Low,Urban,5,2,4,2,Ambivert,7,6,10,8.9,60,51,65,67,0,5.2,42,3.67,80,5.24,9,Researcher
11,24,Female,Medium,Rural,1,4,4,8,Ambivert,1,1,10,8.52,91,80,99,50,2,5.47,96,6.71,42,4.32,5,Researcher
12,20,Male,High,Rural,10,2,6,1,Ambivert,2,6,2,7.14,52,66,91,81,2,1.25,57,6.36,80,5.85,3,Data Scientist
13,20,Female,High,Rural,3,9,8,3,Introvert,6,5,5,6.67,68,58,45,86,1,5.71,87,3.97,25,5.34,3,Entrepreneur
14,22,Male,High,Rural,8,10,5,4,Extrovert,9,6,6,9.71,76,96,65,60,4,7.1,19,10.33,84,6.57,4,Researcher
15,21,Female,Medium,Rural,9,2,8,6,Ambivert,9,1,1,9.65,56,65,87,65,3,3.1,62,6.31,70,4.01,2,Government Job
16,20,Female,Low,Urban,9,10,1,1,Ambivert,8,4,7,6.97,86,93,93,78,2,9.88,0,5.06,37,7.4,3,Researcher
17,23,Male,Medium,Urban,10,2,4,8,Extrovert,3,7,3,6.67,76,54,90,92,3,9.77,22,3.3,24,6.21,9,Entrepreneur
18,22,Other,High,Rural,2,5,1,2,Introvert,2,5,1,7.5,96,70,80,86,4,3.55,32,2.9,111,5.3,9,Data Scientist
19,19,Female,Low,Rural,4,5,3,5,Extrovert,1,6,7,6.19,83,85,91,61,2,7.42,56,11.6,97,5.36,8,Researcher
