Career,Math,Prog,R,I,A,S,E,C
Accountants and Auditors,50,10,30,30,30,30,30,30
Actors,50,10,30,30,30,30,30,30
Actuaries,50,10,30,30,30,30,30,30
Acupuncturists,50,10,30,30,30,30,30,30
Acute Care Nurses,50,10,30,30,30,30,30,30
Adapted Physical Education Specialists,50,10,30,30,30,30,30,30
Adhesive Bonding Machine Operators and Tenders,50,10,30,30,30,30,30,30
"Administrative Law Judges, Adjudicators, and Hearing Officers",50,10,30,30,30,30,30,30
Administrative Services Managers,50,10,30,30,30,30,30,30
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",50,10,30,30,30,30,30,30
Advanced Practice Psychiatric Nurses,50,10,30,30,30,30,30,30
Advertising and Promotions Managers,50,10,30,30,30,30,30,30
Advertising Sales Agents,50,10,30,30,30,30,30,30
Aerospace Engineering and Operations Technologists and Technicians,50,10,30,30,30,30,30,30
Aerospace Engineers,50,10,30,30,30,30,30,30
"Agents and Business Managers of Artists, Performers, and Athletes",50,10,30,30,30,30,30,30
Agricultural Engineers,50,10,30,30,30,30,30,30
Agricultural Equipment Operators,50,10,30,30,30,30,30,30
Agricultural Inspectors,50,10,30,30,30,30,30,30
"Agricultural Sciences Teachers, Postsecondary",50,10,30,30,30,30,30,30
Agricultural Technicians,50,10,30,30,30,30,30,30
"Agricultural Workers, All Other",50,10,30,30,30,30,30,30
Air Crew Members,50,10,30,30,30,30,30,30
Air Crew Officers,50,10,30,30,30,30,30,30
Air Traffic Controllers,50,10,30,30,30,30,30,30
Aircraft Cargo Handling Supervisors,50,10,30,30,30,30,30,30
Aircraft Launch and Recovery Officers,50,10,30,30,30,30,30,30
Aircraft Launch and Recovery Specialists,50,10,30,30,30,30,30,30
Aircraft Mechanics and Service Technicians,50,10,30,30,30,30,30,30
Aircraft Service Attendants,50,10,30,30,30,30,30,30
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",50,10,30,30,30,30,30,30
Airfield Operations Specialists,50,10,30,30,30,30,30,30
"Airline Pilots, Copilots, and Flight Engineers",50,10,30,30,30,30,30,30
Allergists and Immunologists,50,10,30,30,30,30,30,30
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",50,10,30,30,30,30,30,30
Amusement and Recreation Attendants,50,10,30,30,30,30,30,30
Anesthesiologist Assistants,50,10,30,30,30,30,30,30
Anesthesiologists,50,10,30,30,30,30,30,30
Animal Breeders,50,10,30,30,30,30,30,30
Animal Caretakers,50,10,30,30,30,30,30,30
Animal Control Workers,50,10,30,30,30,30,30,30
Animal Scientists,50,10,30,30,30,30,30,30
Animal Trainers,50,10,30,30,30,30,30,30
Anthropologists and Archeologists,50,10,30,30,30,30,30,30
"Anthropology and Archeology Teachers, Postsecondary",50,10,30,30,30,30,30,30
Appraisers and Assessors of Real Estate,50,10,30,30,30,30,30,30
Appraisers of Personal and Business Property,50,10,30,30,30,30,30,30
"Arbitrators, Mediators, and Conciliators",50,10,30,30,30,30,30,30
"Architects, Except Landscape and Naval",50,10,30,30,30,30,30,30
Architectural and Civil Drafters,50,10,30,30,30,30,30,30
Architectural and Engineering Managers,50,10,30,30,30,30,30,30
"Architecture Teachers, Postsecondary",50,10,30,30,30,30,30,30
Archivists,50,10,30,30,30,30,30,30
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",50,10,30,30,30,30,30,30
Armored Assault Vehicle Crew Members,50,10,30,30,30,30,30,30
Armored Assault Vehicle Officers,50,10,30,30,30,30,30,30
Art Directors,50,10,30,30,30,30,30,30
Art Therapists,50,10,30,30,30,30,30,30
"Art, Drama, and Music Teachers, Postsecondary",50,10,30,30,30,30,30,30
Artillery and Missile Crew Members,50,10,30,30,30,30,30,30
Artillery and Missile Officers,50,10,30,30,30,30,30,30
"Artists and Related Workers, All Other",50,10,30,30,30,30,30,30
"Assemblers and Fabricators, All Other",50,10,30,30,30,30,30,30
Astronomers,50,10,30,30,30,30,30,30
Athletes and Sports Competitors,50,10,30,30,30,30,30,30
Athletic Trainers,50,10,30,30,30,30,30,30
Atmospheric and Space Scientists,50,10,30,30,30,30,30,30
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",50,10,30,30,30,30,30,30
Audio and Video Technicians,50,10,30,30,30,30,30,30
Audiologists,50,10,30,30,30,30,30,30
Audiovisual Equipment Installers and Repairers,50,10,30,30,30,30,30,30
Automotive and Watercraft Service Attendants,50,10,30,30,30,30,30,30
Automotive Body and Related Repairers,50,10,30,30,30,30,30,30
Automotive Engineering Technicians,50,10,30,30,30,30,30,30
Automotive Engineers,50,10,30,30,30,30,30,30
Automotive Glass Installers and Repairers,50,10,30,30,30,30,30,30
Automotive Service Technicians and Mechanics,50,10,30,30,30,30,30,30
Aviation Inspectors,50,10,30,30,30,30,30,30
Avionics Technicians,50,10,30,30,30,30,30,30
Baggage Porters and Bellhops,50,10,30,30,30,30,30,30
Bailiffs,50,10,30,30,30,30,30,30
Bakers,50,10,30,30,30,30,30,30
Barbers,50,10,30,30,30,30,30,30
Baristas,50,10,30,30,30,30,30,30
Bartenders,50,10,30,30,30,30,30,30
Bicycle Repairers,50,10,30,30,30,30,30,30
Bill and Account Collectors,50,10,30,30,30,30,30,30
Billing and Posting Clerks,50,10,30,30,30,30,30,30
Biochemists and Biophysicists,50,10,30,30,30,30,30,30
Bioengineers and Biomedical Engineers,50,10,30,30,30,30,30,30
Biofuels Processing Technicians,50,10,30,30,30,30,30,30
Biofuels Production Managers,50,10,30,30,30,30,30,30
Biofuels/Biodiesel Technology and Product Development Managers,50,10,30,30,30,30,30,30
Bioinformatics Scientists,50,10,30,30,30,30,30,30
Bioinformatics Technicians,50,10,30,30,30,30,30,30
"Biological Science Teachers, Postsecondary",50,10,30,30,30,30,30,30
"Biological Scientists, All Other",50,10,30,30,30,30,30,30
Biological Technicians,50,10,30,30,30,30,30,30
Biologists,50,10,30,30,30,30,30,30
Biomass Plant Technicians,50,10,30,30,30,30,30,30
Biomass Power Plant Managers,50,10,30,30,30,30,30,30
Biostatisticians,50,10,30,30,30,30,30,30
Blockchain Engineers,50,10,30,30,30,30,30,30
Boilermakers,50,10,30,30,30,30,30,30
"Bookkeeping, Accounting, and Auditing Clerks",50,10,30,30,30,30,30,30
Brickmasons and Blockmasons,50,10,30,30,30,30,30,30
Bridge and Lock Tenders,50,10,30,30,30,30,30,30
Broadcast Announcers and Radio Disc Jockeys,50,10,30,30,30,30,30,30
Broadcast Technicians,50,10,30,30,30,30,30,30
Brokerage Clerks,50,10,30,30,30,30,30,30
Brownfield Redevelopment Specialists and Site Managers,50,10,30,30,30,30,30,30
Budget Analysts,50,10,30,30,30,30,30,30
"Building Cleaning Workers, All Other",50,10,30,30,30,30,30,30
Bus and Truck Mechanics and Diesel Engine Specialists,50,10,30,30,30,30,30,30
